row_id,candidate_class,score_pre_sort,eligibility,eligibility_reason,primary_class,owned_classes,from_cooc,from_narrative,from_pop
17,druid,0.09111096377510508,eligible,ok,warlock,monk|warlock,0.0,0.07005833219615772,0.021052631578947368
17,cleric,0.1064891626931265,eligible,ok,warlock,monk|warlock,0.0,0.07491021532470545,0.031578947368421054
18,barbarian,0.7147491732863447,eligible,ok,paladin,paladin,0.55,0.13317022591792357,0.031578947368421054
18,cleric,0.1873776623256831,eligible,ok,paladin,paladin,0.0,0.15579871495726205,0.031578947368421054
18,warlock,0.1830005742844825,eligible,ok,paladin,paladin,0.0,0.16194794270553511,0.021052631578947368
18,druid,0.2201083222860917,eligible,ok,paladin,paladin,0.0,0.19905569070714432,0.021052631578947368
18,fighter,0.4842683319509914,eligible,"need STR>=13 or DEX>=13; have STR=17, DEX=10",paladin,paladin,0.0,0.38426833195099136,0.1
19,monk,0.6365206372064144,eligible,ok,fighter,fighter,0.55,0.04967853194325644,0.03684210526315789
19,ranger,0.10822541383946674,eligible,ok,fighter,fighter,0.0,0.08190962436578253,0.02631578947368421
19,rogue,0.145523634967915,eligible,ok,fighter,fighter,0.0,0.10868152970475713,0.03684210526315789
19,cleric,0.17803545162198808,eligible,ok,fighter,fighter,0.0,0.14645650425356702,0.031578947368421054
19,druid,0.058886644902693866,eligible,ok,fighter,fighter,0.0,0.0378340133237465,0.021052631578947368
20,druid,-1000.0,ineligible,WIS>=13 (have 12),barbarian,barbarian,0.55,0.042488371726676966,0.021052631578947368
20,paladin,-1000.0,ineligible,CHA>=13 (have 8),barbarian,barbarian,0.55,0.0,0.02631578947368421
20,fighter,1.326021069189244,eligible,"need STR>=13 or DEX>=13; have STR=17, DEX=14",barbarian,barbarian,0.55,0.6760210691892439,0.1
20,rogue,0.6930956140521847,eligible,ok,barbarian,barbarian,0.55,0.10625350878902677,0.03684210526315789
20,wizard,-1000.0,ineligible,INT>=13 (have 8),barbarian,barbarian,0.0,0.09030907089756118,0.03684210526315789
21,barbarian,0.7147491732863447,eligible,ok,paladin,paladin,0.55,0.13317022591792357,0.031578947368421054
21,cleric,0.1873776623256831,eligible,ok,paladin,paladin,0.0,0.15579871495726205,0.031578947368421054
21,warlock,0.1830005742844825,eligible,ok,paladin,paladin,0.0,0.16194794270553511,0.021052631578947368
21,druid,0.2201083222860917,eligible,ok,paladin,paladin,0.0,0.19905569070714432,0.021052631578947368
21,fighter,0.4842683319509914,eligible,"need STR>=13 or DEX>=13; have STR=17, DEX=10",paladin,paladin,0.0,0.38426833195099136,0.1
22,monk,0.6365206372064144,eligible,ok,fighter,fighter,0.55,0.04967853194325644,0.03684210526315789
22,ranger,0.10822541383946674,eligible,ok,fighter,fighter,0.0,0.08190962436578253,0.02631578947368421
22,rogue,0.145523634967915,eligible,ok,fighter,fighter,0.0,0.10868152970475713,0.03684210526315789
22,cleric,0.17803545162198808,eligible,ok,fighter,fighter,0.0,0.14645650425356702,0.031578947368421054
22,druid,0.058886644902693866,eligible,ok,fighter,fighter,0.0,0.0378340133237465,0.021052631578947368
23,druid,-1000.0,ineligible,WIS>=13 (have 12),barbarian,barbarian,0.55,0.042488371726676966,0.021052631578947368
23,paladin,-1000.0,ineligible,CHA>=13 (have 8),barbarian,barbarian,0.55,0.0,0.02631578947368421
23,fighter,1.326021069189244,eligible,"need STR>=13 or DEX>=13; have STR=17, DEX=14",barbarian,barbarian,0.55,0.6760210691892439,0.1
23,rogue,0.6930956140521847,eligible,ok,barbarian,barbarian,0.55,0.10625350878902677,0.03684210526315789
23,wizard,-1000.0,ineligible,INT>=13 (have 8),barbarian,barbarian,0.0,0.09030907089756118,0.03684210526315789
24,ranger,0.6149850376557155,eligible,ok,rogue,rogue,0.55,0.03866924818203128,0.02631578947368421
24,cleric,0.14517163783804285,eligible,ok,rogue,rogue,0.0,0.1135926904696218,0.031578947368421054
24,druid,0.2026782872415168,eligible,ok,rogue,rogue,0.0,0.1816256556625694,0.021052631578947368
